"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-10-05","48","29.7","40.2","2","0.697","29.9","78"
"2014-10-06","48","25.1","50","2.8","0.456","46.9","82"
"2014-10-07","180","139.6","181.1","12.3","1.289","86.4","121"
"2014-10-08","310","258.8","292.2","9.7","2.094","102.5","83"
"2014-10-09","380","330.6","353","5.7","2.283","92","111"
"2014-10-10","351","300.4","268.5","12.7","2.358","84.5","134"
"2014-10-11","233","190.3","126.2","6.6","1.804","60.8","73"
"2014-10-12","25","6.2","8.9","2.9","0.249","22.3","61"
"2014-10-13","33","13.1","31.2","4.5","0.326","33.9","60"
"2014-10-14","72","43","88.3","7.6","0.688","61.2","83"
"2014-10-15","81","43.3","99.1","4.5","0.585","43.7","71"
"2014-10-16","73","33.9","93.9","7.5","0.63","54.7","91"
"2014-10-17","128","93.8","176.2","11.1","1.214","104.2","78"
"2014-10-18","195","152","229.2","17.1","2.006","114.7","163"
"2014-10-19","294","242.9","313.3","11.7","2.456","118.7","88"
"2014-10-20","249","198.2","212.2","4.8","1.555","73.9","72"
"2014-10-21","67","33.9","81.4","19.2","1.21","57","39"
"2014-10-22","101","71.2","136.2","11","1.273","75","12"
"2014-10-23","157","118.5","175.5","13.1","1.527","85.2","38"
"2014-10-24","268","217.1","265.5","11.2","2.083","88.4","99"
"2014-10-25","341","291.4","327","6.4","2.431","87.4","103"
"2014-10-26","86","58.9","62","2.7","0.674","39.8","69"
"2014-10-27","52","25.3","61","11.2","0.673","51.8","54"
"2014-10-28","83","60.1","106.3","11.6","0.987","69.2","45"
"2014-10-29","140","105.1","161.1","12.6","1.295","88.7","55"
"2014-10-30","203","155","194.3","16.6","1.675","99.2","35"
"2014-10-31","201","152.3","180.5","10.5","2.12","88.7","22"
"2014-11-01","87","57.3","85.9","5.9","1.068","49.3","55"
"2014-11-02","30","7.3","24.6","3.9","0.331","23.4","63"
"2014-11-03","50","23.7","53.8","5.1","0.745","44.4","77"
"2014-11-04","126","94.1","134","15.7","1.36","69.5","61"
"2014-11-05","110","76.3","98.2","7.4","1.216","51.4","69"
"2014-11-06","34","9","20.3","3","0.328","21.3","67"
"2014-11-07","62","41.8","67.9","13.5","1.184","47.8","34"
"2014-11-08","91","67.2","85.1","10.2","1.417","54.9","75"
"2014-11-09","80","57.8","77.8","6.6","1.113","57.5","78"
"2014-11-10","92","67.9","87.1","8.7","1.34","66.7","50"
"2014-11-11","70","34","66.5","4.1","0.686","31","63"
"2014-11-12","42","5.2","41","2.7","0.222","10.3","70"
"2014-11-13","44","22.2","44.6","7.3","0.742","46.9","63"
"2014-11-14","54","33","60","15","1.031","56.8","53"
"2014-11-15","123","92.5","137.4","31.4","2.042","84.3","10"
"2014-11-16","106","74.9","108.9","15.6","1.577","55","56"
"2014-11-17","38","21.8","40.5","13.7","0.736","45.5","65"
"2014-11-18","78","55.4","93","28.3","1.718","69.4","24"
"2014-11-19","267","217.7","284.7","43.8","3.317","122.8","9"
"2014-11-20","342","291.6","360","29.5","3.718","135.9","14"
"2014-11-21","225","186.9","238.5","20.7","2.833","111","37"
"2014-11-22","50","31.4","54.2","14.3","0.822","55.4","49"
"2014-11-23","156","118.4","166","22.2","2.382","91.2","9"
"2014-11-24","103","75.1","112.5","15.6","1.753","72.3","44"
"2014-11-25","174","135.7","178.4","28.2","2.487","93.6","26"
"2014-11-26","283","231.6","287.9","37.9","3.563","120.2","8"
"2014-11-27","102","72.7","108.4","11.6","1.203","57","45"
"2014-11-28","111","78.8","146.8","22.3","1.624","71.7","36"
"2014-11-29","268","217","297.4","18.9","3.425","91.7","3"
"2014-11-30","209","88.5","241.3","9.3","1.333","40.3","59"
"2014-12-01","56","9.8","56.7","6","0.464","18.1","59"
"2014-12-02","25","11.9","21.1","9.6","0.654","34.2","37"
"2014-12-03","56","7.9","63.4","5.7","0.301","14.3","63"
"2014-12-04","33","7.3","29.5","6.4","0.328","16.9","63"
"2014-12-05","42","24.6","45","16.4","0.761","40.1","63"
